step,loss,train_tok_acc,test_tok_acc,test_seq_acc,fpi_iters,res_first,res_last,converged_frac,bwd_res_last,jac_sigma,sec_per_step
1,0.7578,0.4951,0.4984,0.0000,9,9.852e-02,6.191e-04,1.000,1.682e-02,0.504,0.80
100,0.4814,0.7080,0.7204,0.0449,24,2.318e-01,2.608e-03,0.615,1.969e-01,0.596,0.24
200,0.0999,0.9766,0.9737,0.7988,24,4.453e-01,2.226e-02,0.026,3.057e-01,0.701,0.27
300,0.0751,0.9819,0.9606,0.8613,24,7.553e-01,2.096e-02,0.280,5.914e-01,0.730,0.32
400,0.0438,0.9932,0.9954,0.9736,24,7.438e-01,7.807e-03,0.337,1.874e-01,0.653,0.30
500,0.0000,0.8960,0.9279,0.5674,24,8.371e-01,1.608e-01,0.000,,0.811,0.29
600,0.0014,1.0000,0.9984,0.9883,24,9.799e-01,1.160e-02,0.307,3.672e-01,0.632,0.29
700,0.0046,0.9985,0.9980,0.9912,24,1.054e+00,3.569e-02,0.099,3.328e-01,0.673,0.28
800,0.0787,0.9810,0.9796,0.8779,24,8.834e-01,3.173e-02,0.201,8.746e-01,0.695,0.28
900,0.0024,0.9995,0.9982,0.9814,24,1.003e+00,1.761e-02,0.452,1.635e-01,0.607,0.28
1000,0.0009,1.0000,0.9990,0.9893,24,1.015e+00,1.150e-02,0.437,2.288e-01,0.624,0.28
1100,0.0014,0.9995,0.9994,0.9922,24,1.114e+00,1.633e-02,0.368,1.940e-01,0.612,0.27
1200,0.0207,0.9946,0.9969,0.9844,24,1.251e+00,1.249e-01,0.021,3.150e-01,0.804,0.27
1300,0.0020,1.0000,0.9985,0.9893,24,1.295e+00,8.107e-02,0.085,1.452e+00,0.815,0.27
1400,0.0006,1.0000,0.9998,0.9971,24,1.051e+00,2.557e-03,0.561,1.971e-01,0.618,0.30
1500,0.0002,1.0000,0.9997,0.9961,24,1.051e+00,4.208e-03,0.588,1.018e-01,0.587,0.28
1600,0.0001,1.0000,0.9999,0.9980,24,1.073e+00,4.817e-03,0.580,1.020e-01,0.598,0.27
1700,0.0003,1.0000,0.9998,0.9971,24,1.073e+00,3.427e-03,0.674,1.218e-01,0.605,0.27
1800,0.0001,1.0000,0.9994,0.9980,24,1.094e+00,3.950e-03,0.643,1.295e-01,0.609,0.27
1900,0.0029,0.9995,0.9993,0.9980,24,1.070e+00,1.617e-02,0.121,1.884e-01,0.867,0.27
2000,0.0001,1.0000,0.9999,0.9980,24,1.058e+00,3.559e-03,0.634,1.343e-01,0.583,0.27
