step,loss,train_tok_acc,test_tok_acc,test_seq_acc,fpi_iters,res_first,res_last,converged_frac,bwd_res_last,jac_sigma,sec_per_step
1,0.6944,0.5254,0.5256,0.0000,11,9.852e-02,5.083e-04,1.000,1.718e-02,0.524,0.56
100,0.4631,0.7549,0.7314,0.0596,24,1.960e-01,4.550e-03,0.333,1.907e-01,0.743,0.33
200,0.0520,0.9824,0.9887,0.9092,24,4.215e-01,1.304e-02,0.073,3.891e-01,0.836,0.24
300,0.0602,0.9863,0.9778,0.8740,24,4.464e-01,1.769e-02,0.196,4.903e-01,0.881,0.23
400,0.0109,0.9971,0.9948,0.9727,24,7.157e-01,1.059e-02,0.314,3.578e-01,0.789,0.23
500,0.0066,0.9985,0.9979,0.9844,24,7.996e-01,1.279e-02,0.229,3.946e-01,0.781,0.22
600,0.0033,0.9995,0.9965,0.9775,24,8.075e-01,1.311e-02,0.230,1.623e-01,0.720,0.22
700,0.0009,1.0000,0.9968,0.9785,24,7.553e-01,8.439e-03,0.278,1.410e-01,0.677,0.22
800,0.0006,1.0000,0.9979,0.9844,24,8.809e-01,1.479e-02,0.239,1.273e-01,0.724,0.22
900,0.0008,1.0000,0.9994,0.9951,24,8.435e-01,1.017e-02,0.169,1.781e-01,0.725,0.22
1000,0.0079,0.9985,0.9987,0.9912,24,8.638e-01,1.820e-02,0.170,2.476e-01,0.722,0.22
1100,0.0022,0.9995,0.9987,0.9873,24,8.291e-01,1.458e-02,0.177,3.209e-01,0.767,0.22
1200,0.0004,1.0000,0.9984,0.9902,24,7.377e-01,6.724e-03,0.341,2.784e-01,0.651,0.22
1300,0.0002,1.0000,0.9993,0.9951,24,8.348e-01,8.045e-03,0.270,2.057e-01,0.694,0.25
1400,0.0003,1.0000,0.9995,0.9971,24,8.410e-01,6.526e-03,0.282,1.490e-01,0.702,0.23
1500,0.0002,1.0000,0.9995,0.9941,24,9.525e-01,1.477e-02,0.170,3.750e-01,0.740,0.23
1600,0.0002,1.0000,0.9996,0.9971,24,8.529e-01,5.935e-03,0.304,1.240e-01,0.681,0.22
1700,0.0001,1.0000,0.9996,0.9971,24,8.954e-01,7.233e-03,0.335,1.400e-01,0.676,0.22
1800,0.0001,1.0000,0.9991,0.9971,24,9.127e-01,6.555e-03,0.317,1.642e-01,0.700,0.22
1900,0.0001,1.0000,0.9997,0.9971,24,9.327e-01,7.012e-03,0.270,2.387e-01,0.665,0.22
2000,0.0002,1.0000,0.9982,0.9941,24,9.310e-01,8.713e-03,0.272,1.714e-01,0.721,0.22
