step,loss,train_tok_acc,test_tok_acc,test_seq_acc,fpi_iters,res_first,res_last,converged_frac,bwd_res_last,jac_sigma,sec_per_step
1,0.6944,0.5254,0.5256,0.0000,11,9.852e-02,5.083e-04,1.000,1.718e-02,0.510,0.59
100,0.4656,0.7559,0.7255,0.0752,24,1.989e-01,6.486e-03,0.281,2.025e-01,0.591,0.19
200,0.0503,0.9858,0.9841,0.8916,24,4.407e-01,1.687e-02,0.062,8.353e-01,0.713,0.20
300,0.0290,0.9883,0.9930,0.9619,24,6.276e-01,1.414e-02,0.178,6.586e-01,0.741,0.22
400,0.0031,1.0000,0.9983,0.9893,24,8.243e-01,1.548e-02,0.158,3.290e-01,0.689,0.22
500,0.0000,0.9702,0.9605,0.6797,24,8.368e-01,1.825e-01,0.016,,0.764,0.22
600,0.0000,0.6172,0.6092,0.0234,24,9.544e-01,7.337e-01,0.000,,0.802,0.21
700,0.0000,0.5811,0.6092,0.0225,24,9.218e-01,6.810e-01,0.000,,0.801,0.20
800,0.0000,0.6211,0.6096,0.0225,24,9.278e-01,6.822e-01,0.000,,0.803,0.20
900,0.0000,0.5874,0.6096,0.0225,24,9.210e-01,7.026e-01,0.000,,0.783,0.20
1000,0.0000,0.6133,0.6093,0.0225,24,9.189e-01,6.786e-01,0.000,,0.786,0.24
