step,loss,train_tok_acc,test_tok_acc,test_seq_acc,fpi_iters,res_first,res_last,converged_frac,bwd_res_last,jac_sigma,sec_per_step
1,0.7502,0.5000,0.5016,0.0000,9,1.464e-01,6.135e-04,1.000,1.618e-02,0.502,0.57
100,0.5987,0.5835,0.5897,0.0000,24,3.561e-01,1.658e-04,0.982,5.149e-02,0.519,0.20
200,0.5882,0.6538,0.6752,0.0107,24,4.189e-01,9.519e-04,0.845,1.610e-01,0.576,0.23
300,0.0763,0.9858,0.9687,0.8389,24,1.010e+00,5.782e-02,0.100,4.769e-01,0.826,0.23
400,0.2190,0.9253,0.9347,0.7031,24,9.253e-01,1.087e-01,0.136,4.817e-01,0.843,0.26
500,0.0072,0.9990,0.9984,0.9902,24,1.775e+00,1.279e-02,0.626,1.350e-01,0.605,0.25
600,0.0011,1.0000,0.9997,0.9980,24,1.754e+00,6.379e-03,0.722,9.015e-02,0.569,0.24
700,0.0008,1.0000,0.9990,0.9941,24,1.838e+00,3.967e-03,0.812,1.741e-01,0.563,0.24
800,0.1601,0.9746,0.9921,0.9727,24,1.595e+00,2.734e-02,0.596,2.422e-01,0.639,0.25
900,0.0288,0.9951,0.9970,0.9844,24,2.208e+00,3.137e-02,0.369,7.814e-01,0.678,0.25
1000,0.0145,0.9971,0.9982,0.9902,24,2.362e+00,3.847e-03,0.750,5.494e-01,0.579,0.24
1100,0.0209,0.9912,0.9954,0.9824,24,2.271e+00,3.188e-02,0.767,2.672e-01,0.619,0.26
1200,0.0005,1.0000,0.9997,0.9961,24,2.342e+00,2.751e-03,0.805,8.018e-02,0.575,0.25
1300,0.0003,1.0000,0.9999,0.9990,24,2.408e+00,2.776e-03,0.849,4.226e-01,0.577,0.25
1400,0.0008,1.0000,0.9993,0.9951,24,2.661e+00,4.331e-03,0.684,1.470e-01,0.631,0.25
1500,0.0036,0.9985,0.9974,0.9883,24,2.804e+00,2.351e-02,0.589,2.346e-01,0.625,0.25
1600,0.0010,1.0000,0.9986,0.9912,24,1.888e+00,2.411e-03,0.853,1.611e-01,0.565,0.25
1700,0.2404,0.9858,0.9693,0.8203,24,2.213e+00,6.891e-02,0.609,4.334e-01,1.279,0.25
1800,0.0234,0.9922,0.9990,0.9941,24,2.242e+00,2.406e-02,0.612,3.675e-01,0.623,0.26
1900,0.0002,1.0000,0.9998,0.9990,24,2.443e+00,1.564e-03,0.816,7.101e-02,0.560,0.25
2000,0.0039,0.9990,1.0000,1.0000,24,2.328e+00,4.731e-03,0.855,8.041e-02,0.544,0.25
