step,loss,train_tok_acc,test_tok_acc,test_seq_acc,fpi_iters,res_first,res_last,converged_frac,bwd_res_last,jac_sigma,sec_per_step
1,0.6945,0.5200,0.5281,0.0000,9,9.852e-02,3.661e-04,1.000,1.614e-02,0.502,0.48
100,0.5790,0.5845,0.5994,0.0000,24,2.169e-01,9.549e-05,0.984,6.059e-02,0.541,0.16
200,0.3359,0.8662,0.8756,0.4766,24,3.789e-01,1.940e-02,0.177,3.645e-01,0.739,0.18
300,0.0000,0.6865,0.6667,0.0352,24,5.443e-01,1.698e-01,0.113,,0.812,0.17
400,0.0000,0.6812,0.6702,0.0205,24,5.549e-01,1.807e-01,0.149,,0.797,0.17
500,0.0000,0.5820,0.5901,0.0000,24,5.830e-01,2.141e-01,0.112,,0.805,0.17
600,0.0000,0.6099,0.6229,0.0029,24,5.987e-01,2.087e-01,0.061,,0.806,0.17
700,0.1902,0.9473,0.9534,0.8066,24,4.840e-01,8.314e-02,0.094,3.784e-01,0.723,0.17
800,0.6698,0.5293,0.5287,0.0000,24,6.217e-01,1.304e-01,0.178,1.404e-01,0.604,0.17
900,0.0000,0.5371,0.5545,0.0000,24,6.223e-01,2.328e-01,0.034,,0.600,0.21
1000,0.0000,0.5522,0.5545,0.0000,24,6.218e-01,2.351e-01,0.045,,0.609,0.19
1100,0.0000,0.5615,0.5550,0.0000,24,6.234e-01,2.429e-01,0.054,,0.585,0.18
1200,0.0000,0.5679,0.5549,0.0000,24,6.126e-01,2.042e-01,0.023,,0.604,0.18
1300,0.0000,0.5308,0.5548,0.0000,24,6.162e-01,1.992e-01,0.028,,0.596,0.18
1400,0.0000,0.5498,0.5538,0.0000,24,6.130e-01,1.936e-01,0.041,,0.603,0.17
1500,0.0000,0.5474,0.5535,0.0000,24,6.109e-01,1.872e-01,0.063,,0.594,0.17
1600,0.0000,0.5620,0.5529,0.0000,24,6.166e-01,2.164e-01,0.031,,0.583,0.17
1700,0.0000,0.5479,0.5527,0.0000,24,6.102e-01,1.960e-01,0.054,,0.594,0.17
1800,0.0000,0.5430,0.5524,0.0000,24,6.163e-01,1.817e-01,0.069,,0.619,0.18
1900,0.0000,0.5620,0.5518,0.0000,24,6.077e-01,1.620e-01,0.056,,0.581,0.17
2000,0.0000,0.5571,0.5516,0.0000,24,6.056e-01,1.840e-01,0.082,,0.580,0.16
