step,loss,train_tok_acc,test_tok_acc,test_seq_acc,fpi_iters,res_first,res_last,converged_frac,bwd_res_last,jac_sigma,sec_per_step
1,0.7028,0.5288,0.4677,0.0000,5,3.465e-01,1.158e-04,1.000,3.046e-05,nan,0.97
100,0.6915,0.5366,0.5323,0.0000,5,2.072e-01,8.849e-05,1.000,4.787e-05,nan,0.15
200,0.6919,0.5254,0.5323,0.0000,4,1.956e-01,5.115e-04,1.000,3.708e-05,nan,0.14
300,0.6919,0.5283,0.5323,0.0000,4,1.745e-01,3.215e-04,1.000,2.516e-05,nan,0.14
400,0.6864,0.5591,0.5323,0.0000,4,1.668e-01,2.633e-04,1.000,2.163e-05,nan,0.13
500,0.6907,0.5376,0.5323,0.0000,4,1.712e-01,2.889e-04,1.000,2.337e-05,nan,0.13
600,0.6910,0.5366,0.5323,0.0000,4,1.591e-01,1.997e-04,1.000,1.737e-05,nan,0.13
700,0.6921,0.5225,0.5323,0.0000,4,2.063e-01,5.798e-04,1.000,5.112e-05,nan,0.13
800,0.6889,0.5435,0.5323,0.0000,6,3.172e-01,1.220e-04,1.000,3.980e-05,nan,0.13
900,0.6931,0.5195,0.5323,0.0000,7,4.374e-01,1.909e-04,1.000,2.882e-05,nan,0.14
1000,0.6916,0.5293,0.5323,0.0000,7,4.633e-01,2.827e-04,1.000,4.125e-05,nan,0.14
