step,loss,test_tok_acc,test_seq_acc,fpi_iters,res_last,converged_frac,sigma_audit,sec_per_step
1,0.8056,0.5323,0.0000,5,2.809e-04,1.000,0.1601,1.21
100,0.6908,0.5323,0.0000,5,1.549e-04,1.000,0.1461,0.18
200,0.6919,0.5323,0.0000,5,1.586e-04,1.000,0.1504,0.17
300,0.6941,0.5323,0.0000,5,1.655e-04,1.000,0.1553,0.17
400,0.6857,0.5323,0.0000,5,1.979e-04,1.000,0.1603,0.17
500,0.6902,0.5323,0.0000,5,2.126e-04,1.000,0.1576,0.17
600,0.6910,0.5323,0.0000,5,2.467e-04,1.000,0.1612,0.17
700,0.6920,0.5323,0.0000,5,2.945e-04,1.000,0.1678,0.17
800,0.6887,0.5323,0.0000,6,6.059e-05,1.000,0.1781,0.17
900,0.6928,0.5323,0.0000,6,1.107e-04,1.000,0.2024,0.17
1000,0.6910,0.5323,0.0000,6,1.300e-04,1.000,0.2170,0.19
1100,0.6888,0.5323,0.0000,6,1.893e-04,1.000,0.2412,0.19
1200,0.6887,0.5323,0.0000,7,6.335e-05,1.000,0.2550,0.20
1300,0.6917,0.5323,0.0000,7,8.185e-05,1.000,0.2688,0.20
1400,0.6917,0.5323,0.0000,7,9.696e-05,1.000,0.2705,0.20
1500,0.6912,0.5323,0.0000,7,1.144e-04,1.000,0.2793,0.20
1600,0.6888,0.5323,0.0000,7,1.226e-04,1.000,0.2861,0.20
1700,0.6920,0.5323,0.0000,7,1.010e-04,1.000,0.2709,0.23
1800,0.6906,0.5323,0.0000,7,1.232e-04,1.000,0.2893,0.21
1900,0.6894,0.5323,0.0000,7,1.489e-04,1.000,0.2919,0.21
2000,0.6880,0.5323,0.0000,7,1.322e-04,1.000,0.2879,0.21
2100,0.6910,0.5323,0.0000,7,9.993e-05,1.000,0.2837,0.21
2200,0.6905,0.5323,0.0000,7,1.212e-04,1.000,0.2860,0.21
2300,0.6913,0.5323,0.0000,7,1.183e-04,1.000,0.2817,0.21
2400,0.6900,0.5323,0.0000,7,1.202e-04,1.000,0.2874,0.21
2500,0.6917,0.5323,0.0000,7,1.235e-04,1.000,0.2836,0.21
2600,0.6917,0.5323,0.0000,7,1.245e-04,1.000,0.2871,0.21
2700,0.6905,0.5323,0.0000,7,1.351e-04,1.000,0.2895,0.21
2800,0.6905,0.5323,0.0000,7,1.430e-04,1.000,0.2910,0.22
2900,0.6925,0.5323,0.0000,7,1.296e-04,1.000,0.2883,0.22
3000,0.6869,0.5323,0.0000,7,1.258e-04,1.000,0.2884,0.22
