step,loss,test_tok_acc,test_seq_acc,fpi_iters,res_last,converged_frac,sigma_audit,sec_per_step
1,0.8056,0.5323,0.0000,5,2.809e-04,1.000,0.1601,0.89
100,0.6893,0.5323,0.0000,5,1.870e-04,1.000,0.1499,0.18
200,0.6747,0.5283,0.0000,8,9.101e-05,1.000,0.4448,0.19
300,0.6377,0.5605,0.0000,40,2.607e-04,0.980,0.9890,0.29
400,0.5939,0.5793,0.0000,40,8.833e-05,0.980,0.8973,0.38
500,0.5702,0.5884,0.0000,40,5.748e-05,0.991,0.8895,0.62
600,0.5900,0.6104,0.0010,40,9.241e-06,0.999,0.8411,0.63
700,0.5511,0.6100,0.0010,40,5.484e-05,0.990,0.9011,0.68
800,0.5462,0.6147,0.0020,40,9.999e-05,0.980,0.9151,0.65
900,0.5781,0.6023,0.0010,40,7.377e-05,0.980,0.9386,0.64
1000,0.5329,0.6243,0.0000,40,1.589e-04,0.969,1.0004,0.64
1100,0.5133,0.6487,0.0010,40,1.678e-04,0.968,0.9691,0.64
1200,0.4349,0.6840,0.0078,40,2.671e-04,0.949,1.1383,0.55
1300,0.4566,0.7092,0.0420,40,1.369e-03,0.797,0.9854,0.53
1400,0.3670,0.7804,0.0801,40,9.365e-04,0.830,1.1985,0.52
1500,0.2061,0.8871,0.4590,40,2.501e-03,0.682,0.9887,0.53
1600,0.4380,0.8065,0.4590,40,6.464e-03,0.621,1.1904,0.52
1700,0.2342,0.9150,0.5459,40,5.138e-03,0.639,1.1022,0.52
1800,0.1246,0.9581,0.8369,40,5.105e-03,0.742,1.0865,0.52
1900,0.0621,0.9833,0.9355,40,1.834e-03,0.884,0.9818,0.53
2000,0.0284,0.9899,0.9346,40,8.006e-04,0.918,1.1801,0.54
2100,0.0700,0.9932,0.9697,40,1.819e-03,0.934,0.9392,0.54
2200,0.0744,0.9633,0.9199,40,2.010e-03,0.918,1.2451,2.85
2300,0.0177,0.9954,0.9756,40,7.288e-04,0.938,1.1608,0.55
2400,0.0046,0.9976,0.9883,40,2.728e-04,0.945,0.9580,0.54
2500,0.0136,0.9984,0.9873,40,3.043e-04,0.961,1.0566,1.30
2600,0.0236,0.9950,0.9785,40,1.280e-03,0.926,0.8343,0.55
2700,0.0167,0.9984,0.9912,40,6.872e-04,0.945,0.8527,0.54
2800,0.0087,0.9975,0.9863,40,5.726e-04,0.952,0.9646,0.82
2900,0.0032,0.9990,0.9912,40,1.067e-04,0.981,0.9443,0.54
3000,0.0061,0.9964,0.9873,40,1.081e-03,0.939,0.7287,0.53
