step,loss,train_tok_acc,test_tok_acc,test_seq_acc,fpi_iters,res_first,res_last,converged_frac,bwd_res_last,jac_sigma,sec_per_step
1,0.7019,0.5049,0.5012,0.0000,9,1.152e-01,4.630e-04,1.000,1.621e-02,0.503,0.81
100,0.5919,0.5820,0.5905,0.0000,12,3.395e-01,1.038e-03,0.801,4.797e-02,0.520,0.22
200,0.1993,0.9331,0.9078,0.4385,12,9.571e-01,1.439e-01,0.000,5.951e-01,0.934,0.22
300,0.0940,0.9648,0.9637,0.7676,12,1.948e+00,1.374e-01,0.009,5.110e-01,0.764,0.22
400,0.0806,0.9717,0.9590,0.7852,12,3.022e+00,1.008e-01,0.008,5.795e-01,0.683,0.22
500,0.0497,0.9897,0.9873,0.9121,12,3.087e+00,7.327e-02,0.015,3.016e-01,0.678,0.21
600,0.0195,0.9956,0.9875,0.9014,12,3.580e+00,8.980e-02,0.007,9.165e-01,0.723,0.22
700,0.0157,0.9956,0.9875,0.9072,12,3.074e+00,7.093e-02,0.011,1.746e-01,0.641,0.22
800,0.0204,0.9941,0.9822,0.8721,12,3.552e+00,8.785e-02,0.007,2.538e-01,0.655,0.22
900,0.0196,0.9932,0.9862,0.8887,12,3.857e+00,9.515e-02,0.005,3.281e-01,0.653,0.22
1000,0.0753,0.9780,0.9653,0.7559,12,3.019e+00,1.585e-01,0.000,5.560e-01,0.781,0.21
1100,0.0343,0.9912,0.9821,0.8555,12,3.433e+00,1.222e-01,0.009,1.901e-01,0.762,0.21
1200,0.0598,0.9785,0.9479,0.6523,12,3.951e+00,1.650e-01,0.002,1.748e-01,0.641,0.21
1300,0.1434,0.9390,0.9223,0.6357,12,6.299e+00,3.150e-01,0.000,2.709e-01,1.000,0.21
1400,0.2102,0.9390,0.9016,0.5615,12,1.002e+01,2.321e-01,0.002,9.200e-01,0.871,0.21
1500,0.1437,0.9531,0.9127,0.5684,12,6.614e+00,1.959e-01,0.006,2.396e+00,0.991,0.21
1600,0.0376,0.9854,0.9701,0.8184,12,9.137e+00,1.315e-01,0.003,1.245e-01,0.660,0.21
1700,0.6281,0.9424,0.9283,0.5928,12,1.151e+01,1.951e-01,0.004,1.285e+00,1.541,0.24
1800,0.0625,0.9771,0.9574,0.7539,12,8.356e+00,1.643e-01,0.011,1.889e-01,0.691,0.22
1900,0.1148,0.9448,0.9545,0.7227,12,9.889e+00,2.559e-01,0.008,2.411e-01,0.897,0.22
2000,0.0993,0.9722,0.9632,0.7725,12,8.213e+00,1.484e-01,0.003,8.865e-01,0.653,0.22
2100,0.1576,0.9546,0.9472,0.6826,12,1.377e+01,1.889e-01,0.000,3.663e-01,0.966,0.22
2200,0.2324,0.9336,0.9182,0.4648,12,1.606e+01,2.328e-01,0.000,5.866e-01,1.049,0.23
2300,0.0642,0.9741,0.9561,0.7178,12,1.964e+01,1.779e-01,0.000,1.945e+00,0.884,0.23
2400,0.0382,0.9854,0.9686,0.7529,12,1.830e+01,1.650e-01,0.000,3.825e-01,0.689,0.23
2500,0.1289,0.9497,0.9323,0.6025,12,2.102e+01,2.102e-01,0.000,3.340e-01,0.677,0.24
2600,0.0886,0.9639,0.9519,0.7041,12,2.326e+01,2.148e-01,0.000,2.485e-01,0.676,0.23
2700,0.0527,0.9824,0.9624,0.6982,12,2.820e+01,1.693e-01,0.000,2.193e-01,0.789,0.23
2800,0.0977,0.9683,0.9401,0.6475,12,2.945e+01,1.952e-01,0.003,6.438e-01,0.875,0.23
2900,0.1112,0.9678,0.9386,0.6680,12,2.832e+01,1.992e-01,0.001,6.251e-01,0.967,0.23
3000,0.0630,0.9810,0.9647,0.7695,12,3.249e+01,1.445e-01,0.003,6.174e-01,0.656,0.23
