step,loss,train_tok_acc,test_tok_acc,test_seq_acc,fpi_iters,res_first,res_last,converged_frac,bwd_res_last,jac_sigma,sec_per_step
1,0.7502,0.5000,0.5016,0.0000,9,1.464e-01,6.135e-04,1.000,1.618e-02,0.502,1.99
100,0.5987,0.5835,0.5897,0.0000,24,3.561e-01,1.658e-04,0.982,5.149e-02,0.519,0.18
200,0.5882,0.6538,0.6752,0.0107,24,4.189e-01,9.519e-04,0.845,1.610e-01,0.576,0.19
300,0.0369,0.9907,0.9858,0.9043,24,9.786e-01,3.625e-02,0.287,5.082e-01,0.761,0.20
400,0.0181,0.9966,0.9916,0.9541,24,2.005e+00,1.481e-02,0.548,2.601e-01,0.599,0.20
500,0.0493,0.9834,0.9911,0.9629,24,2.467e+00,3.644e-02,0.638,4.802e-01,0.671,0.20
600,0.0558,0.9902,0.9964,0.9893,24,2.161e+00,1.612e-03,0.790,1.154e-01,0.564,0.20
700,0.0120,0.9980,0.9986,0.9932,24,2.247e+00,4.479e-03,0.794,2.647e-01,0.576,0.20
800,0.0026,0.9995,0.9954,0.9805,24,2.188e+00,7.691e-03,0.757,1.365e-01,0.561,0.21
900,0.0006,1.0000,0.9979,0.9912,24,2.139e+00,3.850e-03,0.837,1.654e-01,0.546,0.21
1000,0.0008,1.0000,0.9973,0.9824,24,2.293e+00,7.185e-03,0.729,4.553e-01,0.566,0.21
1100,0.0580,0.9746,0.9879,0.9521,24,2.363e+00,4.939e-02,0.653,1.837e-01,0.633,0.21
1200,0.0066,0.9980,0.9976,0.9893,24,2.329e+00,1.227e-02,0.798,1.204e-01,0.573,0.21
1300,0.0864,0.9775,0.9841,0.9365,24,2.469e+00,5.862e-02,0.583,4.320e-01,1.020,0.21
1400,0.0004,1.0000,0.9993,0.9932,24,2.339e+00,3.139e-03,0.816,1.073e-01,0.538,0.21
1500,0.0071,0.9985,0.9990,0.9941,24,2.257e+00,1.773e-02,0.645,2.690e-01,0.669,0.21
1600,0.0005,1.0000,0.9996,0.9961,24,2.114e+00,2.012e-03,0.817,6.485e-02,0.545,0.22
1700,0.0052,0.9990,0.9970,0.9766,24,1.942e+00,7.758e-03,0.731,1.209e-01,0.576,0.22
1800,0.0060,0.9961,0.9997,0.9971,24,2.537e+00,6.389e-03,0.682,4.572e-02,0.612,0.21
1900,0.0006,1.0000,0.9992,0.9980,24,1.895e+00,2.163e-03,0.835,2.530e-01,0.554,0.21
2000,0.0090,0.9956,0.9999,0.9990,24,2.030e+00,1.280e-02,0.644,1.990e+00,0.660,0.21
